Date,Close,signals,close_position
9/29/2015,1.123103,,
9/30/2015,1.125594,,
10/1/2015,1.117206,,
10/2/2015,1.119344,,
10/5/2015,1.1227,,
10/6/2015,1.11952,,
10/7/2015,1.126799,,
10/8/2015,1.124,,
10/9/2015,1.128694,,
10/12/2015,1.136997,,
10/13/2015,1.135551,,
10/14/2015,1.138498,,
10/15/2015,1.147552,,
10/16/2015,1.136816,,
10/19/2015,1.136105,,
10/20/2015,1.132901,,
10/21/2015,1.135396,,
10/22/2015,1.134803,,
10/23/2015,1.108095,,
10/26/2015,1.102038,,
10/27/2015,1.106599,,
10/28/2015,1.103704,,
10/29/2015,1.092896,,
10/30/2015,1.099384,,
11/2/2015,1.102597,,
11/3/2015,1.101601,,
11/4/2015,1.096395,,
11/5/2015,1.086803,,
11/6/2015,1.0884,,
11/9/2015,1.073341,,
11/10/2015,1.075951,,
11/11/2015,1.073756,,
11/12/2015,1.076299,,
11/13/2015,1.081502,,
11/16/2015,1.069999,,
11/17/2015,1.068799,,
11/18/2015,1.064385,,
11/19/2015,1.066997,,
11/20/2015,1.072616,,
11/23/2015,1.064101,,
11/24/2015,1.064203,,
11/25/2015,1.064385,,
11/26/2015,1.062496,,
11/27/2015,1.060445,,
11/30/2015,1.058302,,
12/1/2015,1.057295,,
12/2/2015,1.062586,,
12/3/2015,1.061301,,
12/4/2015,1.091596,,
12/7/2015,1.0884,,
12/8/2015,1.0834,,
12/9/2015,1.089396,,
12/10/2015,1.101795,,
12/11/2015,1.094811,,
12/14/2015,1.098394,,
12/15/2015,1.0993,,
12/16/2015,1.093625,,
12/17/2015,1.087453,,
12/18/2015,1.08441,,
12/21/2015,1.086992,,
12/22/2015,1.091298,,
12/23/2015,1.095002,,
12/24/2015,1.090917,,
12/25/2015,1.096996,,
12/28/2015,1.096599,,
12/29/2015,1.097526,,
12/30/2015,1.092801,,
12/31/2015,1.093398,,
1/1/2016,1.085906,,
1/4/2016,1.085399,,
1/5/2016,1.082755,,
1/6/2016,1.075199,,
1/7/2016,1.0779,,
1/8/2016,1.092598,,
1/11/2016,1.094104,,
1/12/2016,1.0858,,
1/13/2016,1.084399,,
1/14/2016,1.088601,,
1/15/2016,1.085894,,
1/18/2016,1.092001,,
1/19/2016,1.089503,,
1/20/2016,1.091298,,
1/21/2016,1.087701,,
1/22/2016,1.086201,,
1/25/2016,1.079902,,
1/26/2016,1.085305,,
