Date,Open,High,Low,Close,Adj Close,Volume
2015-05-29,1.477900,1.482700,1.474000,1.477740,1.477740,0
2015-06-01,1.477800,1.481540,1.471000,1.478000,1.478000,0
2015-06-02,1.481350,1.507100,1.479000,1.481050,1.481050,0
2015-06-03,1.503300,1.512990,1.496000,1.503000,1.503000,0
2015-06-04,1.513110,1.527890,1.512000,1.512890,1.512890,0
2015-06-05,1.510900,1.520470,1.502000,1.510930,1.510930,0
2015-06-08,1.508390,1.524700,1.506000,1.508700,1.508700,0
2015-06-09,1.527020,1.533700,1.516000,1.527070,1.527070,0
2015-06-10,1.526340,1.528270,1.514000,1.526100,1.526100,0
2015-06-11,1.519400,1.522300,1.509000,1.519300,1.519300,0
2015-06-12,1.512650,1.515400,1.506000,1.512250,1.512250,0
2015-06-15,1.509600,1.517120,1.508000,1.508520,1.508520,0
2015-06-16,1.517700,1.523160,1.507000,1.517800,1.517800,0
2015-06-17,1.509900,1.519370,1.509400,1.509780,1.509780,0
2015-06-18,1.518700,1.520900,1.512000,1.519000,1.519000,0
2015-06-19,1.517200,1.517700,1.510000,1.517350,1.517350,0
2015-06-22,1.516200,1.521720,1.508000,1.516840,1.516840,0
2015-06-23,1.515400,1.516030,1.494000,1.515610,1.515610,0
2015-06-24,1.497600,1.507040,1.497100,1.497500,1.497500,0
2015-06-25,1.504700,1.506740,1.497000,1.504900,1.504900,0
2015-06-26,1.504560,1.510350,1.501000,1.504400,1.504400,0
2015-06-29,1.487130,1.507080,1.486600,1.486640,1.486640,0
2015-06-30,1.510400,1.511510,1.497000,1.510500,1.510500,0
2015-07-01,1.499680,1.502840,1.493000,1.500100,1.500100,0
2015-07-02,1.493300,1.498450,1.492700,1.493340,1.493340,0
2015-07-03,1.494830,1.498950,1.492000,1.495180,1.495180,0
2015-07-06,1.485700,1.495460,1.485700,1.485660,1.485660,0
2015-07-07,1.491350,1.494520,1.481000,1.491280,1.491280,0
2015-07-08,1.490630,1.499460,1.488420,1.490600,1.490600,0
2015-07-09,1.495400,1.499980,1.488000,1.495160,1.495160,0
2015-07-10,1.492460,1.510440,1.491600,1.492700,1.492700,0
2015-07-13,1.503700,1.511000,1.493000,1.503700,1.503700,0
2015-07-14,1.493280,1.503200,1.491000,1.492220,1.492220,0
2015-07-15,1.497570,1.503220,1.494000,1.497400,1.497400,0
2015-07-16,1.493900,1.497000,1.483000,1.494400,1.494400,0
2015-07-17,1.486500,1.489880,1.481000,1.486850,1.486850,0
2015-07-20,1.482600,1.490230,1.481800,1.482600,1.482600,0
2015-07-21,1.485480,1.490870,1.480000,1.485300,1.485300,0
2015-07-22,1.491000,1.494360,1.486000,1.491000,1.491000,0
2015-07-23,1.491590,1.505120,1.491590,1.491400,1.491400,0
2015-07-24,1.504010,1.506960,1.497000,1.503700,1.503700,0
2015-07-27,1.505300,1.520710,1.504000,1.505380,1.505380,0
2015-07-28,1.517750,1.518110,1.505000,1.518230,1.518230,0
2015-07-29,1.508460,1.510990,1.504000,1.508400,1.508400,0
2015-07-30,1.504420,1.508110,1.500000,1.504000,1.504000,0
2015-07-31,1.503910,1.517760,1.501000,1.503880,1.503880,0
2015-08-03,1.505700,1.512210,1.505300,1.505500,1.505500,0
2015-08-04,1.508790,1.511530,1.507000,1.508920,1.508920,0
2015-08-05,1.503960,1.509170,1.502000,1.504550,1.504550,0
2015-08-06,1.507860,1.513470,1.506000,1.508740,1.508740,0
2015-08-07,1.511300,1.518120,1.506800,1.511370,1.511370,0
2015-08-10,1.517200,1.521200,1.515000,1.517720,1.517720,0
2015-08-11,1.522000,1.554440,1.521300,1.522300,1.522300,0
2015-08-12,1.547170,1.571800,1.546400,1.547500,1.547500,0
2015-08-13,1.561060,1.566200,1.546800,1.561100,1.561100,0
2015-08-14,1.558800,1.569230,1.556970,1.558790,1.558790,0
2015-08-17,1.560500,1.566200,1.556000,1.560400,1.560400,0
2015-08-18,1.558500,1.560500,1.548000,1.558790,1.558790,0
2015-08-19,1.547590,1.555020,1.546000,1.548600,1.548600,0
2015-08-20,1.557970,1.573720,1.557300,1.558810,1.558810,0
2015-08-21,1.576200,1.594960,1.576000,1.576330,1.576330,0
2015-08-24,1.608400,1.651710,1.607200,1.608000,1.608000,0
2015-08-25,1.633100,1.633200,1.596000,1.632900,1.632900,0
2015-08-26,1.622100,1.623530,1.594000,1.621450,1.621450,0
2015-08-27,1.592210,1.594180,1.569000,1.592330,1.592330,0
2015-08-28,1.574100,1.587690,1.570500,1.574200,1.574200,0
2015-08-31,1.579620,1.591890,1.578000,1.579700,1.579700,0
2015-09-01,1.582840,1.595420,1.582800,1.582880,1.582880,0
2015-09-02,1.596340,1.598190,1.587000,1.596100,1.596100,0
2015-09-03,1.587260,1.591800,1.567000,1.587110,1.587110,0
2015-09-04,1.575210,1.582330,1.572700,1.575200,1.575200,0
2015-09-07,1.587370,1.595720,1.580000,1.587100,1.587100,0
2015-09-08,1.591590,1.600350,1.582000,1.592300,1.592300,0
2015-09-09,1.587210,1.587910,1.573000,1.587800,1.587800,0
2015-09-10,1.594100,1.599700,1.580000,1.593750,1.593750,0
2015-09-11,1.593860,1.603910,1.587000,1.593800,1.593800,0
2015-09-14,1.601230,1.601440,1.586000,1.601200,1.601200,0
2015-09-15,1.589300,1.589300,1.578000,1.589340,1.589340,0
2015-09-16,1.580610,1.582800,1.571000,1.580570,1.580570,0
2015-09-17,1.576800,1.586000,1.574000,1.577320,1.577320,0
2015-09-18,1.591900,1.598140,1.583000,1.591810,1.591810,0
2015-09-21,1.580790,1.592750,1.576000,1.581100,1.581100,0
2015-09-22,1.576270,1.586550,1.574000,1.577580,1.577580,0
2015-09-23,1.576500,1.593550,1.574070,1.576100,1.576100,0
2015-09-24,1.595300,1.610910,1.591000,1.595430,1.595430,0
2015-09-25,1.592630,1.594490,1.582000,1.592200,1.592200,0
2015-09-28,1.596780,1.604940,1.592000,1.596600,1.596600,0
2015-09-29,1.608440,1.614200,1.599000,1.606840,1.606840,0
2015-09-30,1.606200,1.606900,1.585000,1.606300,1.606300,0
2015-10-01,1.589890,1.601070,1.586400,1.589680,1.589680,0
2015-10-02,1.601400,1.622880,1.597000,1.601010,1.601010,0
2015-10-05,1.606200,1.610360,1.588000,1.607000,1.607000,0
2015-10-06,1.590300,1.603230,1.589100,1.590000,1.590000,0
2015-10-07,1.601300,1.606320,1.579000,1.600700,1.600700,0
2015-10-08,1.586800,1.597730,1.583700,1.586030,1.586030,0
2015-10-09,1.583300,1.586830,1.577000,1.583600,1.583600,0
2015-10-12,1.590000,1.595230,1.587000,1.589490,1.589490,0
2015-10-13,1.591040,1.597010,1.589000,1.590600,1.590600,0
2015-10-14,1.585350,1.593480,1.578000,1.594440,1.594440,0
2015-10-15,1.581700,1.583410,1.568000,1.581590,1.581590,0
2015-10-16,1.569110,1.575380,1.566000,1.568980,1.568980,0
